iter	RMSE
0	67577.84303
1	66647.296
2	65752.68147
3	64886.33966
4	64034.60152
5	63253.46568
6	62471.59547
7	61851.56617
8	61154.86663
9	60472.67213
10	59837.56689
11	59294.14627
12	58756.33047
13	58364.75299
14	57741.13639
15	57319.59948
16	56862.32693
17	56248.69478
18	55792.39837
19	55390.08502
20	55043.97568
21	54643.63027
22	54361.77186
23	54078.68765
24	53642.00515
25	53305.62136
26	52899.79104
27	52605.0014
28	52271.79111
29	51899.51121
30	51542.93371
31	51207.32465
32	50937.11875
33	50686.88401
34	50374.96998
35	50216.33011
36	49972.28308
37	49727.31195
38	49581.0547
39	49362.03118
40	49110.00758
41	48857.84286
42	48632.54757
43	48469.32215
44	48336.89174
45	48096.43668
46	47892.6833
47	47704.18972
48	47488.22473
49	47330.95126
50	47221.87111
51	47047.98034
52	46907.90798
53	46741.8631
54	46580.26174
55	46364.69023
56	46223.56108
57	46058.58502
58	45926.89269
59	45826.59525
60	45689.87665
61	45566.88714
62	45433.49807
63	45317.90972
64	45211.71021
65	45074.69376
66	44980.73522
67	44876.06698
68	44720.38412
69	44634.91605
70	44543.78108
71	44427.41455
72	44367.38543
73	44296.46933
74	44150.43358
75	44082.69288
76	43962.83357
77	43855.52598
78	43755.90348
79	43680.0141
80	43551.03341
81	43514.27351
82	43407.79345
83	43308.77586
84	43200.55048
85	43117.54235
86	43003.37356
87	42924.82779
88	42882.59917
89	42852.87017
90	42809.78504
91	42746.5123
92	42678.06444
93	42616.96411
94	42586.49662
95	42520.85048
96	42410.2572
97	42349.56169
98	42266.24137
99	42199.59159
100	42136.66699
101	42094.6798
102	42078.40075
103	42015.55364
104	41904.47441
105	41863.46932
106	41828.51963
107	41761.0946
108	41669.96464
109	41632.68347
110	41596.49213
111	41537.08151
112	41451.11209
113	41397.84579
114	41352.024
115	41320.93926
116	41261.70324
117	41211.34088
118	41137.57252
119	41087.08016
120	41051.55881
121	41014.68923
122	40956.93895
123	40938.74456
124	40880.62929
125	40830.85744
