iter	RMSE
0	70592.49498
1	69657.26826
2	68865.19863
3	68071.8847
4	67256.03252
5	66461.77788
6	65682.32265
7	65058.67283
8	64390.0589
9	63701.02195
10	63098.41676
11	62549.77777
12	61937.40896
13	61435.1259
14	60960.16427
15	60453.3022
16	60006.36011
17	59609.06216
18	59152.18009
19	58624.23998
20	58199.41749
21	57919.51406
22	57449.20475
23	57106.45934
24	56797.77179
25	56442.54715
26	56101.71396
27	55818.4556
28	55513.58414
29	55200.77014
30	54853.77978
31	54538.13906
32	54281.80105
33	53955.09163
34	53746.95784
35	53472.55274
36	53247.57946
37	53043.87662
38	52825.28199
39	52575.98889
40	52336.10995
41	52180.48769
42	52004.8829
43	51801.59283
44	51583.88738
45	51403.17412
46	51224.13969
47	51057.27631
48	50932.52988
49	50747.95799
50	50566.09085
51	50408.32604
52	50257.79918
53	50167.648
54	49979.78211
55	49829.49599
56	49670.14993
57	49559.12603
58	49457.45011
59	49348.93878
60	49215.69306
61	49118.3594
62	49005.89449
63	48889.03312
64	48754.94789
65	48619.9715
66	48517.78229
67	48396.9675
68	48264.91284
69	48157.28068
70	48075.63776
71	47979.48954
72	47896.79559
73	47805.22875
74	47674.64945
75	47591.23729
76	47551.00902
77	47485.24808
78	47423.34293
79	47320.6404
80	47237.71183
81	47113.67417
82	46987.1123
83	46905.40715
84	46827.33289
85	46803.74916
86	46717.50454
87	46646.82409
88	46625.28062
89	46564.44533
90	46492.80016
91	46423.43283
92	46340.72201
93	46304.38358
94	46277.77487
95	46209.56008
96	46155.0508
97	46086.34777
98	46036.61922
99	45973.44153
100	45943.89679
101	45871.00661
102	45815.81167
103	45799.5956
104	45781.47795
105	45737.60429
106	45670.62175
107	45617.70126
108	45481.62341
109	45409.18193
110	45373.41171
111	45345.14999
112	45286.45349
113	45271.91696
114	45212.06716
115	45194.94348
116	45152.94802
117	45068.4519
118	45047.79146
119	44983.67105
120	44939.77391
121	44886.86513
122	44868.44029
123	44775.44187
124	44716.95849
125	44645.25688
126	44601.07913
127	44521.8819
128	44507.03253
129	44461.49303
130	44443.86689
131	44403.06531
132	44376.33695
133	44288.45899
134	44248.47604
135	44208.91274
136	44185.70384
137	44148.45922
138	44095.06216
139	44061.06673
140	44028.83304
141	43960.52799
142	43927.22584
143	43869.32604
144	43851.6246
145	43801.41561
146	43747.74699
147	43718.57734
148	43685.81983
149	43639.24747
150	43599.20579
151	43529.66097
152	43482.4624
153	43422.59853
154	43408.59423
155	43382.99982
156	43325.2145
157	43276.06772
158	43218.47682
159	43181.45367
160	43156.57034
161	43109.7341
162	43067.00998
163	43015.22624
164	42959.72338
165	42906.34717
166	42870.71867
167	42844.68267
168	42816.08523
169	42763.55885
170	42737.43859
171	42695.40479
172	42669.82243
173	42618.35497
174	42583.4493
175	42556.06603
176	42509.87624
177	42495.44297
178	42471.3792
179	42430.40533
180	42424.14992
181	42373.62077
182	42340.63283
183	42281.27306
184	42256.75497
185	42237.78924
186	42206.67163
187	42178.47852
188	42170.3753
189	42137.72147
190	42110.24939
191	42100.32198
192	42054.47606
193	42018.92591
194	42014.53657
195	41981.07298
196	41916.87419
197	41868.96662
198	41846.97638
199	41840.32578
200	41798.68464
201	41769.36285
202	41745.38392
203	41716.32222
204	41712.3929
205	41659.72869
206	41590.03338
207	41562.95139
208	41538.83867
209	41495.84597
210	41458.15011
211	41434.96329
212	41408.86901
213	41384.56679
214	41370.02524
215	41346.6353
216	41332.13151
217	41301.86582
218	41268.38013
219	41247.42361
220	41213.41548
221	41181.79231
222	41120.75366
223	41102.2366
224	41062.84157
225	41022.53212
226	40981.37777
227	40969.18163
228	40940.58655
229	40925.27083
230	40902.58708
231	40882.13071
232	40852.82292
233	40834.88359
234	40808.79922
235	40765.67167
236	40730.91226
237	40726.8355
238	40722.83369
239	40676.47114
240	40652.47854
241	40625.34358
242	40614.03231
243	40592.48271
244	40557.34504
245	40531.80299
246	40514.33402
247	40501.37529
248	40475.032
249	40452.77997
250	40433.84047
251	40421.83835
252	40401.11328
253	40377.55519
254	40352.74976
255	40333.33476
256	40314.17073
257	40296.48321
258	40261.19244
259	40238.34332
260	40217.41205
261	40201.36316
262	40177.88249
263	40146.65318
264	40113.75382
265	40096.52045
266	40076.6302
267	40056.9625
268	40022.81171
269	39998.48243
270	39971.77912
271	39947.0535
272	39933.70066
273	39901.60637
274	39877.3657
275	39850.23629
276	39828.31712
277	39805.92396
278	39793.50001
279	39780.37924
280	39767.7183
281	39752.34631
282	39740.87261
283	39718.39067
284	39698.48108
285	39673.02279
286	39648.76814
287	39627.88718
288	39604.56381
289	39548.42331
290	39519.65884
291	39490.1467
292	39474.7794
293	39455.4248
294	39437.76942
295	39416.10636
296	39399.1835
297	39385.36142
298	39371.58648
299	39358.95758
300	39337.48583
301	39302.85925
302	39277.23044
303	39263.58203
304	39245.70838
305	39230.68233
306	39211.09436
307	39192.3285
308	39178.65217
309	39161.32443
310	39151.73861
311	39130.65683
312	39096.16895
313	39083.52213
314	39052.1164
315	39037.51691
316	39016.93737
317	39005.05574
318	38998.75513
319	38982.24716
320	38967.51754
321	38950.9062
322	38934.01295
323	38916.58203
324	38905.68859
325	38884.75849
326	38865.6358
327	38848.83714
328	38800.91334
329	38775.4505
330	38743.45042
331	38723.13564
332	38698.90829
333	38682.69556
334	38652.89931
335	38640.07918
336	38629.31994
337	38616.8049
338	38604.64872
339	38591.34196
340	38576.65004
341	38558.34944
342	38542.12377
343	38533.42148
344	38497.00574
345	38471.23116
346	38449.9083
347	38439.25597
348	38417.90172
349	38410.7591
350	38396.64092
351	38379.02037
352	38354.98179
353	38338.60693
354	38306.10913
355	38292.05167
356	38240.6557
357	38230.29148
358	38225.09813
359	38203.97113
360	38188.63223
361	38147.88494
362	38110.79491
