iter	Passed	Remaining
0	0	370
1	0	352
2	0	324
3	1	289
4	1	271
5	1	254
6	1	247
7	2	256
8	2	245
9	2	239
10	2	231
11	2	225
12	2	221
13	3	217
14	3	214
15	3	215
16	3	217
17	3	210
18	3	205
19	4	202
20	4	200
21	4	202
22	4	202
23	5	210
24	5	212
25	5	212
26	5	209
27	6	209
28	6	206
29	6	204
30	6	202
31	6	200
32	6	196
33	6	196
34	7	195
35	7	195
36	7	196
37	7	196
38	7	195
39	8	215
40	9	214
41	9	216
42	9	219
43	10	217
44	10	217
45	10	215
46	10	213
47	10	214
48	11	216
49	11	220
50	11	219
51	12	219
52	12	217
53	12	216
54	12	214
55	12	214
56	13	216
57	13	216
58	13	214
59	14	231
60	14	228
61	14	226
62	15	224
63	15	222
64	15	220
65	15	222
66	15	220
67	15	218
68	16	217
69	16	220
70	16	220
71	16	219
72	17	217
73	17	216
74	17	216
75	17	214
76	17	213
77	18	212
78	18	211
79	18	210
80	18	212
81	18	210
82	18	209
83	19	208
84	19	208
85	19	210
86	20	210
87	20	210
88	20	208
89	20	207
90	20	208
91	20	206
92	21	206
93	21	205
94	21	204
95	21	203
96	21	202
97	21	201
98	21	199
99	22	198
100	22	197
101	22	196
102	22	195
103	22	195
104	22	194
105	23	195
106	23	194
107	23	193
108	23	194
109	23	193
110	24	192
111	24	192
112	24	192
113	24	191
114	24	191
115	25	192
116	25	191
117	25	190
118	25	190
119	25	189
120	25	188
121	26	188
122	26	187
123	26	187
124	26	187
125	27	187
126	27	187
127	27	188
128	27	189
129	28	189
130	28	188
131	28	187
132	28	186
133	28	186
134	28	185
135	29	185
136	29	184
137	29	184
138	29	184
139	30	184
140	30	184
141	30	183
142	30	183
143	30	183
144	31	183
145	31	183
146	31	182
147	31	183
148	32	183
149	32	182
150	32	183
151	32	182
152	32	182
153	33	181
154	33	181
155	33	181
156	33	180
157	33	180
158	34	179
159	34	179
160	34	179
161	34	178
162	34	177
163	34	177
164	35	177
165	35	177
166	35	177
167	35	178
168	36	177
169	36	177
170	36	176
171	36	176
172	36	176
173	36	175
174	37	174
175	37	174
176	37	175
177	38	176
178	38	175
179	38	175
180	38	174
181	38	174
182	38	173
183	39	173
184	39	172
185	39	172
186	39	171
187	39	170
188	39	170
189	39	169
190	39	169
191	40	168
192	40	168
193	40	167
194	40	166
195	40	166
196	40	165
197	40	165
198	41	167
199	42	168
200	42	168
201	42	168
202	42	167
203	42	167
204	42	166
205	43	166
206	43	165
207	43	166
208	43	166
209	44	165
210	44	165
211	44	164
212	44	164
213	44	163
214	44	163
215	44	162
216	44	162
217	45	161
218	45	161
219	45	160
220	45	160
221	45	159
222	45	159
223	45	158
224	45	158
225	46	157
226	46	157
227	46	156
228	46	156
229	46	156
230	46	156
231	47	155
232	47	156
233	47	155
234	47	155
235	48	155
236	48	155
237	48	154
238	48	154
239	48	154
240	49	154
241	49	153
242	49	153
243	49	153
244	49	152
245	49	152
246	50	152
247	50	152
248	50	152
249	50	151
250	50	151
251	51	151
252	51	150
253	51	150
254	51	150
255	51	149
256	51	149
257	52	149
258	52	149
259	52	149
260	52	149
261	52	149
262	53	148
263	53	148
264	53	148
265	54	149
266	54	148
267	54	148
268	54	148
269	54	148
270	55	148
271	55	148
272	55	147
273	55	147
274	55	147
275	56	146
276	56	146
277	56	147
278	57	147
279	57	147
280	57	147
281	57	147
282	57	146
283	58	146
284	58	146
285	58	145
286	58	145
287	58	144
288	58	144
289	59	144
290	59	144
291	59	143
292	59	143
293	59	143
294	59	142
295	59	142
296	60	142
297	60	142
298	60	142
299	60	142
300	61	141
301	61	141
302	61	141
303	61	141
304	61	140
305	61	140
306	62	140
307	62	139
308	62	139
309	63	140
310	63	139
311	63	139
312	63	139
313	63	139
314	63	138
315	63	138
316	64	138
317	64	138
318	64	137
319	64	137
320	64	137
321	64	136
322	65	136
323	65	136
324	65	135
325	65	135
326	65	135
327	65	134
328	65	134
329	65	133
330	66	133
331	66	133
332	66	132
333	66	132
334	66	132
335	66	131
336	66	131
337	66	131
338	67	130
339	67	130
340	67	130
341	67	129
342	67	129
343	67	129
344	67	128
345	67	128
346	68	129
347	68	128
348	68	128
349	69	128
350	69	127
351	73	135
352	74	135
353	74	135
354	74	135
355	75	135
356	75	135
357	75	135
358	75	135
359	75	134
360	75	134
361	75	133
362	76	133
363	76	133
364	76	132
365	76	132
366	76	132
367	76	131
368	76	131
369	77	131
370	77	130
371	77	130
372	77	130
373	77	129
374	77	129
375	77	129
376	77	128
377	77	128
378	78	127
379	78	127
380	78	127
381	78	126
382	78	126
383	78	126
384	78	125
385	78	125
386	79	125
387	79	124
388	79	124
389	79	124
390	79	123
391	79	123
392	79	123
393	79	122
394	79	122
395	80	122
396	80	121
397	80	121
398	80	121
399	80	120
400	80	120
401	80	120
402	80	119
403	80	119
404	81	119
405	81	118
406	81	118
407	81	118
408	81	117
409	81	117
410	81	117
411	81	116
412	82	116
413	82	116
414	82	115
415	82	115
416	82	115
417	83	116
418	83	116
419	83	115
420	84	115
421	84	115
422	84	115
423	84	115
424	84	114
425	85	114
426	85	114
427	85	114
428	85	113
429	85	113
430	86	114
431	86	113
432	87	114
433	87	114
434	88	114
435	88	114
436	88	113
437	88	113
438	89	113
439	89	113
440	89	113
441	89	112
442	89	112
443	89	112
444	89	112
445	90	111
446	90	111
447	90	111
448	90	111
449	90	111
450	91	110
451	91	110
452	91	110
453	91	110
454	91	110
455	92	109
456	92	109
457	92	109
458	92	109
459	92	109
460	93	109
461	93	108
462	93	108
463	94	108
464	94	108
465	94	108
466	94	107
467	94	107
468	94	107
469	95	107
470	95	107
471	95	106
472	95	106
473	95	106
474	96	106
475	96	106
476	96	106
477	97	105
478	97	105
479	97	105
480	97	105
481	98	105
482	98	105
483	98	105
484	98	104
485	99	104
486	99	104
487	99	104
488	99	104
489	100	104
490	100	103
491	100	103
492	100	103
493	100	103
494	100	102
495	101	102
496	101	102
497	101	102
498	101	102
499	101	101
500	102	101
501	102	101
502	102	101
503	102	101
504	103	101
505	103	101
506	103	100
507	103	100
508	104	100
509	104	100
510	104	100
511	104	99
512	105	99
513	105	99
514	105	99
515	105	99
516	105	98
517	105	98
518	105	98
519	106	98
520	106	98
521	106	97
522	106	97
523	107	97
524	107	96
525	107	96
526	107	96
527	107	96
528	108	96
529	108	96
530	108	95
531	108	95
532	109	95
533	109	95
534	109	95
535	109	95
536	110	94
537	110	94
538	110	94
539	110	94
540	111	94
541	111	93
542	111	93
543	111	93
544	111	93
545	111	93
546	112	92
547	112	92
548	112	92
549	113	92
550	113	92
551	113	92
552	113	91
553	113	91
554	114	91
555	114	91
556	114	91
557	114	90
558	114	90
559	114	90
560	115	90
561	115	89
562	115	89
563	115	89
564	115	89
565	116	88
566	116	88
567	116	88
568	116	88
569	116	88
570	117	87
571	117	87
572	117	87
573	117	87
574	117	86
575	117	86
576	118	86
577	118	86
578	118	86
579	118	85
580	118	85
581	118	85
582	119	85
583	119	84
584	119	84
585	119	84
586	120	84
587	120	84
588	120	83
589	120	83
590	120	83
591	120	83
592	121	83
593	121	82
594	121	82
595	121	82
596	121	82
597	122	82
598	122	81
599	122	81
600	122	81
601	122	81
602	122	80
603	123	80
604	123	80
605	123	80
606	123	80
607	123	79
608	123	79
609	124	79
610	124	79
611	124	79
612	125	79
613	125	78
614	125	78
615	125	78
616	125	78
617	126	77
618	126	77
619	126	77
620	126	77
621	126	77
622	126	76
623	127	76
624	127	76
625	127	76
626	127	75
627	127	75
628	128	75
629	128	75
630	128	75
631	128	74
632	129	74
633	129	74
634	129	74
635	129	74
636	129	73
637	129	73
638	130	73
639	130	73
640	130	73
641	131	73
642	131	72
643	131	72
644	131	72
645	131	72
646	131	72
647	132	71
648	132	71
649	132	71
650	132	71
651	133	71
652	133	70
653	133	70
654	133	70
655	133	70
656	133	69
657	134	69
658	134	69
659	134	69
660	134	69
661	135	69
662	135	68
663	135	68
664	135	68
665	135	68
666	136	67
667	136	67
668	136	67
669	136	67
670	137	67
671	137	67
672	137	66
673	137	66
674	137	66
675	138	66
676	138	66
677	138	65
678	138	65
679	139	65
680	139	65
681	139	65
682	139	64
683	140	64
684	140	64
685	140	64
686	140	64
687	140	63
688	141	63
689	141	63
690	141	63
691	141	63
692	141	62
693	142	62
694	142	62
695	142	62
696	142	62
697	143	61
698	143	61
699	143	61
700	143	61
701	144	61
702	144	60
703	144	60
704	144	60
705	144	60
706	145	60
707	145	59
708	145	59
709	145	59
710	145	59
711	146	59
712	146	58
713	146	58
714	146	58
715	146	58
716	146	57
717	147	57
718	147	57
719	147	57
720	147	57
721	147	56
722	148	56
723	148	56
724	148	56
725	149	56
726	149	56
727	149	55
728	149	55
729	149	55
730	150	55
731	150	55
732	150	54
733	150	54
734	151	54
735	151	54
736	151	54
737	151	53
738	152	53
739	152	53
740	152	53
741	152	53
742	153	52
743	153	52
744	153	52
745	153	52
746	153	52
747	153	51
748	154	51
749	154	51
750	154	51
751	154	50
752	154	50
753	154	50
754	155	50
755	155	50
756	155	49
757	156	49
758	156	49
759	156	49
760	156	49
761	157	49
762	157	48
763	157	48
764	157	48
765	158	48
766	158	48
767	159	48
768	159	47
769	159	47
770	160	47
771	161	47
772	161	47
773	161	47
774	161	46
775	161	46
776	161	46
777	162	46
778	162	46
779	162	45
780	162	45
781	162	45
782	162	45
783	162	44
784	163	44
785	163	44
786	163	44
787	164	44
788	164	43
789	164	43
790	164	43
791	164	43
792	165	43
793	165	42
794	165	42
795	165	42
796	166	42
797	166	42
798	166	41
799	166	41
800	166	41
801	166	41
802	167	41
803	167	40
804	167	40
805	168	40
806	168	40
807	168	40
808	168	39
809	168	39
810	169	39
811	169	39
812	169	38
813	169	38
814	169	38
815	170	38
816	170	38
817	170	37
818	170	37
819	171	37
820	171	37
821	171	37
822	171	36
823	172	36
824	172	36
825	172	36
826	172	36
827	173	35
828	173	35
829	173	35
830	173	35
831	173	35
832	174	34
833	174	34
834	174	34
835	175	34
836	175	34
837	175	33
838	175	33
839	176	33
840	176	33
841	176	33
842	176	32
843	176	32
844	177	32
845	177	32
846	177	32
847	177	31
848	178	31
849	178	31
850	178	31
851	178	31
852	179	30
853	179	30
854	179	30
855	179	30
856	180	30
857	180	29
858	180	29
859	180	29
860	180	29
861	181	28
862	181	28
863	181	28
864	181	28
865	181	28
866	182	27
867	182	27
868	182	27
869	182	27
870	182	27
871	183	26
872	183	26
873	183	26
874	183	26
875	184	26
876	184	25
877	184	25
878	184	25
879	185	25
880	185	25
881	185	24
882	185	24
883	185	24
884	185	24
885	186	23
886	186	23
887	186	23
888	186	23
889	187	23
890	187	22
891	187	22
892	188	22
893	188	22
894	188	22
895	189	21
896	189	21
897	189	21
898	190	21
899	190	21
900	190	20
901	190	20
902	191	20
903	191	20
904	191	20
905	191	19
906	192	19
907	192	19
908	193	19
909	193	19
910	193	18
911	194	18
912	194	18
913	194	18
914	195	18
915	195	17
916	195	17
917	196	17
918	196	17
919	196	17
920	197	16
921	197	16
922	197	16
923	197	16
924	198	16
925	198	15
926	198	15
927	199	15
928	199	15
929	199	15
930	199	14
931	200	14
932	200	14
933	200	14
934	201	13
935	201	13
936	201	13
937	201	13
938	202	13
939	202	12
940	202	12
941	203	12
942	203	12
943	203	12
944	203	11
945	203	11
946	204	11
947	204	11
948	204	10
949	204	10
950	204	10
951	205	10
952	205	10
953	205	9
954	205	9
955	205	9
956	206	9
957	206	9
958	206	8
959	206	8
960	206	8
961	207	8
962	207	7
963	207	7
964	207	7
965	208	7
966	208	7
967	208	6
968	208	6
969	208	6
970	209	6
971	209	6
972	209	5
973	209	5
974	209	5
975	210	5
976	210	4
977	210	4
978	210	4
979	211	4
980	211	4
981	211	3
982	211	3
983	211	3
984	212	3
985	212	3
986	212	2
987	212	2
988	213	2
989	213	2
990	213	1
991	213	1
992	214	1
993	214	1
994	214	1
995	214	0
996	215	0
997	215	0
998	215	0
999	215	0
