iter	RMSE
0	69421.05536
1	68732.85373
2	68072.70343
3	67371.14869
4	66675.93287
5	65867.58575
6	65260.87506
7	64538.37466
8	63890.00321
9	63239.74819
10	62682.92605
11	62179.74961
12	61709.0826
13	61277.07291
14	60813.6167
15	60286.7696
16	59757.36702
17	59382.34722
18	59041.79598
19	58634.48286
20	58348.84852
21	57993.79799
22	57702.78661
23	57378.77624
24	57129.73289
25	56730.14944
26	56481.01531
27	56324.21551
28	56049.43752
29	55758.08269
30	55527.24013
31	55256.40051
32	54942.14751
33	54784.26974
34	54518.50335
35	54177.28815
36	53992.31795
37	53786.76428
38	53649.91777
39	53384.92668
40	53203.07625
41	53033.00951
42	52825.74314
43	52682.96181
44	52490.33627
45	52353.50334
46	52251.68466
47	51995.84953
48	51832.0222
49	51716.40972
50	51573.93757
51	51450.52162
52	51328.40189
53	51235.62083
54	51100.63817
55	50971.51489
56	50873.63591
57	50728.95526
58	50567.90633
59	50441.87463
60	50344.83246
61	50260.25827
62	50209.54589
63	50108.05814
64	50037.60355
65	49951.39169
66	49816.70824
67	49711.56643
68	49605.18233
69	49561.63959
70	49440.52
71	49344.66216
72	49259.65592
73	49162.38833
74	49083.75588
75	49021.48152
76	48962.53373
77	48875.78
78	48795.64149
79	48645.66161
80	48613.72583
81	48599.10769
82	48542.58108
83	48493.48402
84	48447.2359
85	48400.44412
86	48348.38947
87	48292.89466
88	48193.28521
89	48175.5636
90	48104.3329
91	48045.15984
92	47996.27607
93	47920.11208
94	47836.31715
95	47777.46774
96	47619.49828
97	47565.58703
98	47510.5675
99	47476.88752
100	47420.37528
101	47377.55496
102	47345.38549
103	47304.31327
104	47247.10404
105	47178.19396
106	47110.12197
107	47024.10124
108	46981.26417
109	46938.27286
110	46886.0828
111	46843.75878
112	46818.00268
113	46760.42482
114	46676.25538
115	46607.14287
116	46515.22448
117	46464.26871
118	46386.63659
119	46330.72226
120	46317.6377
121	46221.37989
122	46176.53392
123	46169.13873
124	46095.23752
125	46012.95721
126	45990.70019
127	45951.59599
128	45848.97099
129	45805.84315
130	45771.93508
131	45678.41785
132	45585.97819
133	45554.99002
134	45503.51083
135	45422.1135
136	45394.91536
137	45314.31736
138	45259.81263
139	45211.7807
140	45165.75633
141	45123.5431
142	45111.97365
143	45022.33845
144	44979.31741
145	44943.98962
146	44921.9336
147	44919.55018
148	44899.6045
149	44841.04635
150	44805.19622
151	44778.23456
