id,salary_in_usd
0,131150.36741628186
1,128824.42346598857
2,128824.42346598857
3,42855.03283775833
4,21822.899507247348
5,88480.05191800803
6,220684.92965897344
7,68760.8796503131
8,118202.37673212886
9,170628.32959992657
10,45801.68296252183
11,165930.12418683383
12,121161.56979590905
13,45349.920452565864
14,82809.96875403546
15,67956.80915082755
16,124312.20076496516
17,125050.76242154352
18,35043.506799495015
19,114687.82854474326
20,151116.05632894652
21,72236.56601193128
22,77213.30350704936
23,115174.24678098309
24,-23385.036572281115
25,25824.46127239994
26,79444.76749580084
27,164530.01651314914
28,44288.546184559185
29,133279.9366472995
30,122490.78790005333
31,114333.12989245358
32,112540.25960529051
33,69588.91100167242
34,33685.16619998881
35,44075.53436774773
36,153360.9672404355
37,31400.235947656798
38,73173.2500313316
39,170628.32959992657
40,27821.56675877691
41,22380.919166335356
42,128824.42346598857
43,194586.1116769996
44,81385.92622106503
45,189677.84742879312
46,102038.45895320633
47,56183.178619239196
48,114333.12989245358
49,40218.96562089215
50,133035.98475900103
51,60577.119593067386
52,145233.84348421256
53,121582.61298996441
54,113368.03691016937
55,67837.74298220736
56,165404.27341210836
57,197634.86223567143
58,126077.27925276682
59,133227.568328637
60,126077.27925276682
61,241062.86325404307
62,133227.568328637
63,135748.5106002648
64,160174.20764297497
65,165404.27341210836
66,165404.27341210836
67,133227.568328637
68,116642.75679539415
69,77208.36217397763
70,145233.84348421256
71,171049.37279398195
72,67581.44327319633
73,66376.08287292995
74,94559.64569560793
75,120091.78050086033
76,67849.99853830888
77,69328.57547131144
78,146181.85522866028
79,148178.36430836905
80,15264.666217295011
81,39957.13741167508
82,140398.4237998566
83,152843.64987114
84,114858.86939927345
85,76629.74514346044
86,76629.74514346044
87,165404.27341210836
88,133227.568328637
89,50156.49744179392
90,32216.018278395837
91,71195.57622180262
92,99202.30546704472
93,60477.943692712695
94,133227.568328637
95,149375.01050181713
96,15210.550449559112
97,76707.33073389728
98,56722.67750815816
99,135748.5106002648
100,133227.568328637
101,126077.27925276682
102,126077.27925276682
103,165404.27341210836
104,165404.27341210836
105,46005.04497906821
106,116642.75679539415
