id,salary_in_usd
0,125029.195
1,332720.0
2,97596.83333333334
3,101708.85
4,47755.9545
5,82898.578
6,77086.44
7,58981.8705
8,31917.52
9,219764.19696969696
10,65387.11333333334
11,267784.3333333334
12,74238.35190476192
13,57231.415
14,82147.04
15,56601.8
16,76202.76
17,261288.0
18,81707.0155357143
19,60920.47166666667
20,93902.41
21,34545.958
22,75068.42
23,174602.06904761904
24,49516.514500000005
25,55022.505
26,154318.00952380954
27,190247.24
28,28086.8
29,71507.88
30,54071.95
31,191862.06959706967
32,63123.78447619047
33,43715.26
34,112050.76166666666
35,83107.42880952382
36,195320.7195238095
37,75712.68
38,118765.89
39,191948.8333333333
40,45717.45333333333
41,70901.75
42,92565.0
43,152257.81446581197
44,161668.6666666667
45,199731.65
46,96773.66366666666
47,94910.955
48,191862.06959706967
49,52487.5575
50,171350.5873015873
51,51665.894
52,99689.5080952381
53,148205.0983946354
54,88420.21879004329
55,49589.59033333334
56,147270.6837335184
57,110799.18333333333
58,89682.50712214355
59,125422.68327732517
60,89682.50712214355
61,242838.38095238095
62,125422.68327732517
63,116847.62175962928
64,186587.03733333334
65,111440.37763492063
66,111440.37763492063
67,125422.68327732517
68,89250.44948301702
69,59512.5045
70,171391.66666666663
71,160348.9374098124
72,71287.86654761905
73,64992.06416666666
74,96365.04
75,113498.20608730157
76,70967.54869047618
77,48379.28695238095
78,92783.71333333332
79,180934.44142857142
80,34872.78333333333
81,53983.6445
82,199527.0873015873
83,199236.49542857145
84,105838.35880591953
85,43144.897261904756
86,43144.897261904756
87,147270.6837335184
88,125422.68327732517
89,111112.93666666668
90,73108.3169047619
91,56245.205
92,89321.32
93,55039.01
94,125422.68327732517
95,214584.7142857143
96,77686.05285714286
97,77505.8825
98,66556.435
99,188760.76387301588
100,125422.68327732517
101,89682.50712214355
102,89682.50712214355
103,111440.37763492063
104,147270.6837335184
105,88319.9
106,89250.44948301702
