id,salary_in_usd
0,132547.34
1,319074.0
2,94618.0
3,96304.83
4,49283.3975
5,99296.14
6,62692.56583333333
7,50004.22416666667
8,31705.513333333336
9,241009.62499999997
10,64466.407999999996
11,289351.50000000006
12,69715.02666666667
13,47942.41666666667
14,99477.55
15,51730.175
16,71743.73
17,240424.3333333333
18,90982.64733333334
19,50994.14600000001
20,90090.01
21,28081.305
22,76808.88
23,174915.80555555553
24,77954.90666666666
25,75527.805
26,169150.15873015873
27,200595.21399999998
28,32289.215
29,85326.49
30,62389.92
31,194876.34992784992
32,69296.56793650794
33,56637.499
34,112379.24
35,84834.44554761908
36,197824.75
37,84182.06380952381
38,115333.72
39,188829.00000000003
40,53667.52
41,118015.75
42,89894.0
43,147165.08214285714
44,183556.39682539683
45,193910.7
46,94600.3440238095
47,94057.59333333334
48,194876.34992784992
49,73838.495
50,172539.64285714284
51,46815.065
52,99689.41188888889
53,144155.9446078269
54,85448.703
55,42017.62649999999
56,149129.85699494867
57,104511.24047619046
58,83182.03973156362
59,123898.48968810914
60,83182.03973156362
61,257771.08730158728
62,123898.48968810914
63,115123.4461093074
64,201862.10507142858
65,107572.01758730158
66,107572.01758730158
67,123898.48968810914
68,83003.58993867246
69,49002.735
70,170439.0
71,158572.90793650795
72,63718.15833333333
73,35983.21533333333
74,113021.8
75,120029.15033333334
76,72032.54849999999
77,46680.81352380952
78,89314.94333333334
79,192387.8785714286
80,37588.7025
81,53895.4455
82,186408.27380952382
83,206070.14166666663
84,98114.70178249676
85,37359.920519841275
86,37359.920519841275
87,149129.85699494867
88,123898.48968810914
89,115215.49999999999
90,82420.69666666666
91,45930.833
92,82605.68
93,77947.858
94,123898.48968810914
95,227403.8333333333
96,86170.68800000001
97,82664.05166666667
98,71563.92
99,179138.44333333336
100,123898.48968810914
101,83182.03973156362
102,83182.03973156362
103,107572.01758730158
104,149129.85699494867
105,98941.6675
106,83003.58993867246
