id,salary_in_usd
0,135247.6375
1,130315.00000000001
2,130315.00000000001
3,69091.78
4,26437.32
5,88719.15
6,71570.38333333335
7,59068.31
8,46004.39
9,117780.91666666669
10,32326.5
11,207780.95238095234
12,51700.806
13,24025.09
14,83371.6
15,57918.06
16,98666.99
17,138395.64102564097
18,48916.90333333333
19,56715.08
20,46477.325
21,67578.68
22,69987.98
23,145034.7196738109
24,17768.27
25,27139.5
26,102519.40476190476
27,188080.7523809524
28,49987.68333333334
29,133772.12
30,132682.18
31,136632.448024198
32,125979.77
33,60833.20114285715
34,33832.5
35,76967.17333333332
36,174110.8458730159
37,43891.86583333334
38,66066.49333333333
39,171923.7380952381
40,25672.8725
41,19350.64
42,229400.75
43,181794.91666666672
44,92185.0
45,238530.7113997114
46,113230.05278571429
47,64072.83
48,136632.448024198
49,33244.9
50,205949.75
51,52742.744000000006
52,129825.64523809523
53,159119.2622857143
54,106495.83003174602
55,88493.03133333333
56,159109.30964402147
57,229193.86763191767
58,110597.77354403358
59,150549.35266170706
60,110597.77354403358
61,237060.58127211969
62,150549.35266170706
63,142725.73681818182
64,172169.40600000002
65,150549.35266170706
66,150549.35266170706
67,150549.35266170706
68,102735.1766161616
69,82020.21916666666
70,129825.64523809523
71,170342.7398629149
72,85890.68456349205
73,75416.58198809523
74,74031.08666666667
75,130241.61937301588
76,69257.36366666667
77,79927.4547301587
78,118259.4629848485
79,172676.08556998556
80,56543.77
81,55287.6
82,240869.4386652237
83,202410.51545056477
84,123575.76761570394
85,58618.61276984125
86,58618.61276984125
87,159109.30964402147
88,150549.35266170706
89,56098.924166666664
90,57537.63666666667
91,49086.2475
92,65346.31888888889
93,46256.9775
94,150549.35266170706
95,204857.7928571428
96,49123.2845
97,63673.03083333334
98,68027.63383333333
99,142725.73681818182
100,150549.35266170706
101,110597.77354403358
102,110597.77354403358
103,150549.35266170706
104,159109.30964402147
105,65820.82
106,102735.1766161616
