id,salary_in_usd
0,67660.86727753528
1,132960.04529872263
2,132960.04529872263
3,36256.42550214303
4,30262.924221825124
5,96119.88742020134
6,242308.96390766732
7,37848.65184795026
8,95748.41666081343
9,179647.97906454053
10,54004.578582632734
11,182205.07751102126
12,113996.20844030449
13,54004.578582632734
14,91965.62142410496
15,49793.81254184055
16,115781.3291120739
17,141503.6540152673
18,32390.26650115355
19,130520.75269507548
20,144350.67072855055
21,82505.01540899288
22,57095.299170279075
23,128414.21459277318
24,29115.873815591003
25,40064.08832828797
26,87700.35047876151
27,162253.55040829236
28,34262.120089580974
29,146592.47628321813
30,141049.07799148484
31,99873.4753348146
32,137942.94899692197
33,58261.29806228729
34,26926.518876487688
35,51178.15274276815
36,148753.80346448213
37,28421.444528572538
38,51398.49840658993
39,177392.38779256603
40,40064.08832828797
41,16765.296761736347
42,172023.9964641234
43,197496.63560607517
44,82718.1298182041
45,209298.62141202646
46,103830.84967677799
47,43013.592586233935
48,99873.4753348146
49,47851.82114209862
50,117623.62497836097
51,61403.81010220437
52,137468.36085581337
53,145719.5816199852
54,99729.65960960035
55,72599.03532051932
56,165797.79127367944
57,177152.74102821594
58,117324.26733414456
59,135960.5662075899
60,117324.26733414456
61,213454.3393744203
62,135960.5662075899
63,135586.30612748498
64,165561.13871809107
65,165797.79127367944
66,165797.79127367944
67,135960.5662075899
68,112847.09211278684
69,70239.34969046096
70,137468.36085581337
71,180337.09600921112
72,63538.84051186122
73,72771.37490168313
74,89734.85018007393
75,116460.16394339342
76,72771.37490168313
77,82514.05173248232
78,151849.62736294564
79,110856.23847414415
80,46026.675950607256
81,65686.97653535301
82,105678.5037917799
83,153997.57075191877
84,113323.56663538002
85,72697.22472751635
86,72697.22472751635
87,165797.79127367944
88,135960.5662075899
89,28118.201536126515
90,32181.985370397088
91,57465.37994178631
92,94248.30578075131
93,45433.87331036748
94,135960.5662075899
95,160255.32519589344
96,27396.395901751526
97,60428.98195850945
98,42067.56135639933
99,135586.30612748498
100,135960.5662075899
101,117324.26733414456
102,117324.26733414456
103,165797.79127367944
104,165797.79127367944
105,37818.98485247302
106,112847.09211278684
