id,salary_in_usd
0,41689.0
1,103000.0
2,135000.0
3,115000.0
4,40481.0
5,2859.0
6,412000.0
7,59102.0
8,5679.0
9,150000.0
10,12000.0
11,412000.0
12,56000.0
13,100000.0
14,65000.0
15,51321.0
16,173762.0
17,160000.0
18,63831.0
19,5679.0
20,150000.0
21,56256.0
22,75774.0
23,170000.0
24,30428.0
25,56738.0
26,135000.0
27,235000.0
28,89294.0
29,102839.0
30,18907.0
31,150000.0
32,63831.0
33,77364.0
34,82744.0
35,90734.0
36,170000.0
37,2859.0
38,130026.0
39,200000.0
40,12000.0
41,22611.0
42,93000.0
43,412000.0
44,82500.0
45,235000.0
46,93150.0
47,130026.0
48,150000.0
49,65000.0
50,135000.0
51,153667.0
52,102100.0
53,170000.0
54,106260.0
55,117789.0
56,140000.0
57,130000.0
58,90320.0
59,100000.0
60,90320.0
61,224000.0
62,100000.0
63,220110.0
64,189650.0
65,266400.0
66,266400.0
67,100000.0
68,99000.0
69,98158.0
70,141300.0
71,209100.0
72,58000.0
73,76940.0
74,65000.0
75,82900.0
76,65949.0
77,78526.0
78,189650.0
79,160000.0
80,18442.0
81,18442.0
82,450000.0
83,185000.0
84,135000.0
85,65438.0
86,65438.0
87,140000.0
88,100000.0
89,100000.0
90,118187.0
91,46597.0
92,77684.0
93,13400.0
94,100000.0
95,225000.0
96,87425.0
97,75774.0
98,75000.0
99,184700.0
100,100000.0
101,90320.0
102,90320.0
103,266400.0
104,140000.0
105,67000.0
106,99000.0
