id,salary_in_usd
0,88818.11
1,99730.66
2,99730.66
3,43332.004
4,20899.256
5,47704.566
6,101360.086
7,60496.64
8,53190.895
9,135331.27
10,59088.297
11,145582.05
12,65761.85
13,57973.445
14,35990.125
15,69893.26
16,99542.3
17,119851.47
18,62533.39
19,69528.22
20,55508.758
21,60496.64
22,90868.19
23,125463.52
24,9240.122
25,19490.87
26,98322.33
27,145582.05
28,113793.83
29,165557.0
30,139065.81
31,109046.49
32,155376.33
33,63087.547
34,20812.615
35,84445.55
36,125463.52
37,42475.52
38,63389.84
39,135331.27
40,47722.63
41,30215.041
42,99730.66
43,145582.05
44,98322.33
45,205334.47
46,109983.73
47,63389.84
48,109046.49
49,52282.582
50,119297.266
51,80617.445
52,120234.484
53,109983.73
54,89862.94
55,70749.73
56,135714.33
57,175346.0
58,105342.79
59,125463.52
60,105342.79
61,205717.53
62,125463.52
63,125463.52
64,125463.52
65,152337.78
66,152337.78
67,125463.52
68,105342.79
69,70749.73
70,120234.484
71,135331.27
72,78755.73
73,43332.004
74,68679.53
75,109983.73
76,59321.207
77,70749.73
78,99178.75
79,119851.47
80,11031.547
81,51270.74
82,88925.68
83,145582.05
84,89862.94
85,81000.47
86,81000.47
87,135714.33
88,125463.52
89,44662.207
90,39521.703
91,63450.45
92,106347.96
93,67519.07
94,125463.52
95,119297.266
96,114475.31
97,81000.47
98,50628.934
99,125463.52
100,125463.52
101,105342.79
102,105342.79
103,152337.78
104,135714.33
105,39823.97
106,105342.79
